date,
01/06/2015,80.29
02/06/2015,80.44
03/06/2015,82.44
04/06/2015,82.05
05/06/2015,82.14
08/06/2015,80.67
09/06/2015,80.67
10/06/2015,82.16
11/06/2015,81.83
12/06/2015,81.53
15/06/2015,80.71
16/06/2015,81.06
17/06/2015,81.79
18/06/2015,82.9
19/06/2015,82.51
22/06/2015,84.74
23/06/2015,87.88
24/06/2015,88.86
25/06/2015,87.98
26/06/2015,88.01
29/06/2015,85.8
30/06/2015,85.76
01/07/2015,86.91
02/07/2015,87.28
06/07/2015,87.55
07/07/2015,87.22
08/07/2015,85.65
09/07/2015,85.88
10/07/2015,87.95
13/07/2015,90.1
14/07/2015,89.68
15/07/2015,89.76
16/07/2015,90.85
17/07/2015,94.97
20/07/2015,97.91
21/07/2015,98.39
22/07/2015,97.04
23/07/2015,95.44
24/07/2015,96.95
27/07/2015,94.17
28/07/2015,95.29
29/07/2015,96.99
30/07/2015,95.21
31/07/2015,94.01
03/08/2015,94.14
04/08/2015,94.06
05/08/2015,96.44
06/08/2015,95.12
07/08/2015,94.3
10/08/2015,94.15
11/08/2015,93.62
12/08/2015,94.19
13/08/2015,93.43
14/08/2015,94.42
17/08/2015,93.93
18/08/2015,95.17
19/08/2015,95.31
20/08/2015,90.56
21/08/2015,86.06
24/08/2015,82.09
25/08/2015,83
26/08/2015,87.19
27/08/2015,89.73
28/08/2015,91.01
31/08/2015,89.43
01/09/2015,87.23
02/09/2015,89.89
03/09/2015,88.15
04/09/2015,88.26
08/09/2015,89.53
09/09/2015,90.44
10/09/2015,91.98
11/09/2015,92.05
14/09/2015,92.31
15/09/2015,92.9
16/09/2015,93.45
17/09/2015,94.34
18/09/2015,94.4
21/09/2015,95.55
22/09/2015,92.96
23/09/2015,93.97
24/09/2015,94.41
25/09/2015,92.77
28/09/2015,89.21
29/09/2015,86.67
30/09/2015,89.9
01/10/2015,90.95
02/10/2015,92.07
05/10/2015,94.01
06/10/2015,92.8
07/10/2015,92.4
08/10/2015,92.47
09/10/2015,93.24
12/10/2015,94.26
13/10/2015,94.12
14/10/2015,94.07
15/10/2015,95.96
16/10/2015,97.54
19/10/2015,98.47
20/10/2015,97
21/10/2015,97.11
22/10/2015,99.67
23/10/2015,102.19
26/10/2015,103.77
27/10/2015,103.7
28/10/2015,104.2
29/10/2015,104.88
30/10/2015,101.97
02/11/2015,103.31
03/11/2015,102.58
04/11/2015,103.94
05/11/2015,108.76
06/11/2015,107.1
